game_id,match_date,opponent,score_sb_vs_op,result,batter_1_id,batter_1,batter_2_id,batter_２,batter_3_id,batter_３,batter_4_id,batter_４,batter_5_id,batter_５,batter_6_id,batter_６,batter_7_id,batter_７,batter_8_id,batter_８,batter_9_id,batter_９,starter_diff_count
1,2025/03/28,ロッテ,２−８,負け,1,周東,2,近藤,3,柳田,4,山川,5,正木,6,今宮,7,ダウンズ,8,リチャード,9,谷川原,0
2,2025/03/29,ロッテ,４−５,負け,1,周東,2,近藤,3,柳田,4,山川,5,正木,6,今宮,7,ダウンズ,8,リチャード,13,海野,1
3,2025/03/30,ロッテ,４−７,負け,1,周東,2,近藤,3,柳田,4,山川,5,正木,6,今宮,12,牧原,8,リチャード,13,海野,2
4,2025/04/01,日本ハム,５−１,勝ち,1,周東,14,中村,3,柳田,4,山川,5,正木,6,今宮,12,牧原,8,リチャード,13,海野,3
5,2025/04/02,日本ハム,１−３,負け,1,周東,14,中村,3,柳田,4,山川,5,正木,6,今宮,7,ダウンズ,8,リチャード,9,谷川原,1
6,2025/04/04,西武,０−６,負け,1,周東,10,川瀬,3,柳田,4,山川,5,正木,14,中村,12,牧原,8,リチャード,9,谷川原,3
7,2025/04/05,西武,３−６,負け,1,周東,7,ダウンズ,3,柳田,4,山川,5,正木,6,今宮,18,柳町,13,海野,19,廣瀬,3
8,2025/04/06,西武,１１−１,勝ち,1,周東,14,中村,3,柳田,4,山川,5,正木,6,今宮,19,廣瀬,13,海野,12,牧原,4
9,2025/04/08,オリックス,５−２,勝ち,1,周東,10,川瀬,14,中村,4,山川,5,正木,6,今宮,18,柳町,13,海野,12,牧原,5
10,2025/04/09,オリックス,１０−９,勝ち,1,周東,20,佐藤,14,中村,4,山川,5,正木,6,今宮,7,ダウンズ,13,海野,19,廣瀬,4
11,2025/04/10,オリックス,１−１,引き分け,1,周東,19,廣瀬,14,中村,4,山川,5,正木,6,今宮,18,柳町,11,渡邉,12,牧原,5
12,2025/04/11,ロッテ,５−４,勝ち,1,周東,10,川瀬,3,柳田,4,山川,5,正木,18,柳町,19,廣瀬,13,海野,12,牧原,5
13,2025/04/12,ロッテ,８−０,勝ち,1,周東,20,佐藤,7,ダウンズ,4,山川,5,正木,6,今宮,19,廣瀬,13,海野,12,牧原,5
14,2025/04/13,ロッテ,,中止,,,,,,,,,,,,,,,,,,,
15,2025/04/15,楽天,１−２,負け,1,周東,20,佐藤,14,中村,4,山川,5,正木,6,今宮,19,廣瀬,13,海野,12,牧原,5
16,2025/04/16,楽天,２−６,負け,1,周東,23,山本,14,中村,4,山川,5,正木,6,今宮,19,廣瀬,13,海野,10,川瀬,5
17,2025/04/17,楽天,３−４,負け,1,周東,6,今宮,22,栗原,4,山川,5,正木,14,中村,19,廣瀬,23,山本,11,渡邉,5
18,2025/04/18,西武,１−２,負け,10,川瀬,20,佐藤,22,栗原,4,山川,5,正木,14,中村,19,廣瀬,12,牧原,13,海野,7
19,2025/04/19,西武,１−０,負け,16,緒方,6,今宮,22,栗原,4,山川,14,中村,19,廣瀬,12,牧原,13,海野,20,佐藤,7
20,2025/04/20,西武,３−１,勝ち,1,周東,6,今宮,22,栗原,4,山川,14,中村,19,廣瀬,21,嶺井,23,山本,20,佐藤,6
21,2025/04/22,オリックス,５−５,引き分け,1,周東,6,今宮,22,栗原,4,山川,14,中村,19,廣瀬,20,佐藤,13,海野,16,緒方,6
22,2025/04/23,オリックス,６−２,勝ち,1,周東,6,今宮,22,栗原,4,山川,14,中村,24,石塚,18,柳町,19,廣瀬,13,海野,6
23,2025/04/25,楽天,１−０,勝ち,12,牧原,6,今宮,22,栗原,4,山川,14,中村,24,石塚,18,柳町,19,廣瀬,13,海野,7
24,2025/04/26,楽天,３−６,負け,12,牧原,10,川瀬,22,栗原,4,山川,14,中村,24,石塚,18,柳町,19,廣瀬,13,海野,8
25,2025/04/27,楽天,２−３,負け,12,牧原,10,川瀬,22,栗原,4,山川,14,中村,14,柳町,24,石塚,11,渡邉,19,廣瀬,8
26,2025/04/29,日本ハム,１−２,負け,10,川瀬,16,緒方,22,栗原,4,山川,14,中村,6,今宮,24,石塚,13,海野,12,牧原,7
